Temperature,Forecast,WindSpeed,WindDirection,Precipitation,Pressure,From,To
8,Clear sky,2.9,182.5,0.0,1007.9,2015-04-24T23:00:00,2015-04-25T00:00:00
8,Clear sky,2.7,189.9,0.0,1007.6,2015-04-25T00:00:00,2015-04-25T01:00:00
8,Fair,2.6,189.0,0.0,1007.3,2015-04-25T01:00:00,2015-04-25T02:00:00
8,Partly cloudy,2.3,186.5,0.0,1007.1,2015-04-25T02:00:00,2015-04-25T03:00:00
7,Partly cloudy,2.0,171.7,0.0,1006.6,2015-04-25T03:00:00,2015-04-25T04:00:00
7,Partly cloudy,1.8,180.4,0.0,1006.1,2015-04-25T04:00:00,2015-04-25T05:00:00
7,Partly cloudy,1.9,192.8,0.0,1005.6,2015-04-25T05:00:00,2015-04-25T06:00:00
7,Partly cloudy,1.9,203.1,0.0,1005.4,2015-04-25T06:00:00,2015-04-25T07:00:00
7,Cloudy,1.8,203.4,0.0,1005.4,2015-04-25T07:00:00,2015-04-25T08:00:00
9,Cloudy,2.0,195.9,0.0,1005.4,2015-04-25T08:00:00,2015-04-25T09:00:00
11,Cloudy,2.0,189.4,0.0,1005.2,2015-04-25T09:00:00,2015-04-25T10:00:00
12,Rain,1.9,184.0,0.5,1005.0,2015-04-25T10:00:00,2015-04-25T11:00:00
11,Rain,2.4,172.3,0.3,1004.9,2015-04-25T11:00:00,2015-04-25T12:00:00
10,Rain,2.4,195.6,0.5,1004.7,2015-04-25T12:00:00,2015-04-25T13:00:00
9,Rain,2.4,190.4,0.5,1004.5,2015-04-25T13:00:00,2015-04-25T14:00:00
10,Light rain,3.5,211.1,0.2,1004.5,2015-04-25T14:00:00,2015-04-25T15:00:00
10,Cloudy,3.7,214.6,0.0,1004.4,2015-04-25T15:00:00,2015-04-25T16:00:00
10,Cloudy,3.5,222.6,0.1,1004.3,2015-04-25T16:00:00,2015-04-25T17:00:00
11,Light rain,3.8,223.9,0.2,1004.2,2015-04-25T17:00:00,2015-04-25T18:00:00
11,Cloudy,3.3,223.1,0.1,1003.9,2015-04-25T18:00:00,2015-04-25T19:00:00
11,Light rain,2.8,223.3,0.1,1003.7,2015-04-25T19:00:00,2015-04-25T20:00:00
